,day,open,high,low,close,volume
2024-05-22,2024-05-22,3157.189,3166.919,3152.457,3158.54,35409808200
2024-05-23,2024-05-23,3149.875,3150.628,3110.277,3116.387,35394372700
2024-05-24,2024-05-24,3110.753,3130.425,3087.794,3088.871,30653227900
2024-05-27,2024-05-27,3094.14,3125.506,3091.989,3124.043,31939676500
2024-05-28,2024-05-28,3122.388,3130.31,3106.365,3109.572,31006697400
2024-05-29,2024-05-29,3108.027,3128.137,3100.98,3111.018,28997034600
2024-05-30,2024-05-30,3103.708,3121.218,3085.384,3091.678,30238076200
2024-05-31,2024-05-31,3094.759,3107.604,3086.813,3086.813,27607281600
2024-06-03,2024-06-03,3085.981,3097.204,3061.277,3078.489,35756336200
2024-06-04,2024-06-04,3071.32,3095.322,3063.588,3091.199,30928759800
2024-06-05,2024-06-05,3086.051,3092.346,3064.736,3065.403,29054234400
2024-06-06,2024-06-06,3069.439,3077.673,3040.83,3048.794,36986710400
2024-06-07,2024-06-07,3053.915,3065.025,3031.044,3051.279,31634248400
2024-06-11,2024-06-11,3042.134,3043.2,3013.861,3028.045,31048194200
2024-06-12,2024-06-12,3025.296,3042.042,3021.309,3037.468,27945210600
2024-06-13,2024-06-13,3038.086,3040.402,3022.822,3028.919,29786246300
2024-06-14,2024-06-14,3020.959,3037.905,3011.577,3032.633,34874675300
2024-06-17,2024-06-17,3017.717,3026.624,3012.045,3015.891,29576344800
2024-06-18,2024-06-18,3015.071,3031.976,3012.523,3030.246,27362599900
2024-06-19,2024-06-19,3029.099,3030.226,3015.326,3018.049,26129624800
2024-06-20,2024-06-20,3015.722,3028.514,3001.768,3005.437,29551590700
2024-06-21,2024-06-21,2998.241,3011.914,2985.929,2998.138,25500125100
2024-06-24,2024-06-24,2982.826,2990.643,2960.127,2963.099,29865388400
2024-06-25,2024-06-25,2962.765,2971.653,2935.538,2949.996,27320993800
2024-06-26,2024-06-26,2943.447,2976.669,2933.33,2972.525,28238840900
2024-06-27,2024-06-27,2962.696,2963.064,2944.898,2945.852,27054851900
2024-06-28,2024-06-28,2940.303,2985.468,2939.984,2967.403,31520143200
2024-07-01,2024-07-01,2965.245,2996.409,2961.856,2994.73,29778223500
2024-07-02,2024-07-02,2992.856,3004.987,2989.47,2997.011,28136468300
2024-07-03,2024-07-03,2995.664,2998.537,2978.069,2982.376,24628464200
2024-07-04,2024-07-04,2984.83,2995.57,2955.29,2957.567,27426878900
2024-07-05,2024-07-05,2954.372,2957.107,2920.205,2949.933,27232455600
2024-07-08,2024-07-08,2939.837,2947.61,2917.232,2922.45,27753342400
2024-07-09,2024-07-09,2919.573,2963.782,2904.039,2959.372,31506203100
2024-07-10,2024-07-10,2949.026,2958.859,2935.33,2939.364,30154945600
2024-07-11,2024-07-11,2957.25,2971.361,2947.403,2970.387,32837242400
2024-07-12,2024-07-12,2965.612,2977.142,2963.303,2971.295,30371301400
2024-07-15,2024-07-15,2963.847,2977.313,2959.129,2974.011,26899259700
2024-07-16,2024-07-16,2963.9,2977.361,2959.666,2976.304,26078363000
2024-07-17,2024-07-17,2970.808,2972.795,2957.948,2962.855,28230799100
2024-07-18,2024-07-18,2951.143,2978.092,2937.905,2977.133,27802266500
2024-07-19,2024-07-19,2963.514,2986.243,2955.12,2982.309,28093241300
2024-07-22,2024-07-22,2978.193,2978.601,2946.561,2964.216,27874955900
2024-07-23,2024-07-23,2960.5,2960.5,2915.368,2915.369,29629599400
2024-07-24,2024-07-24,2909.152,2922.03,2894.289,2901.952,30611885300
2024-07-25,2024-07-25,2891.892,2897.767,2872.85,2886.742,27463950000
2024-07-26,2024-07-26,2885.995,2899.116,2875.396,2890.897,27838753600
2024-07-29,2024-07-29,2889.473,2898.951,2878.583,2891.845,25689972700
2024-07-30,2024-07-30,2885.215,2885.215,2865.149,2879.3,26247883700
2024-07-31,2024-07-31,2877.541,2940.593,2876.301,2938.749,41272341700
2024-08-01,2024-08-01,2940.12,2947.877,2928.826,2932.387,34662113700
2024-08-02,2024-08-02,2913.02,2931.259,2902.72,2905.338,31220503900
