,open,close,high,low,volume
2024-10-17 13:42:00,3206.39,3203.55,3206.39,3203.52,1419676.0
2024-10-17 13:43:00,3204.17,3201.61,3204.17,3201.61,1564377.0
2024-10-17 13:44:00,3202.17,3200.43,3202.17,3200.28,1504446.0
2024-10-17 13:45:00,3200.69,3199.23,3200.69,3198.78,1388102.0
2024-10-17 13:46:00,3199.34,3200.44,3200.49,3199.04,1217086.0
2024-10-17 13:47:00,3200.49,3200.21,3200.7,3199.9,1256047.0
2024-10-17 13:48:00,3200.22,3200.28,3200.55,3199.76,1096093.0
2024-10-17 13:49:00,3200.28,3200.63,3200.94,3199.82,1083859.0
2024-10-17 13:50:00,3200.67,3200.19,3200.99,3199.78,1175658.0
2024-10-17 13:51:00,3200.23,3195.96,3200.44,3195.96,2587648.0
2024-10-17 13:52:00,3195.86,3195.7,3195.94,3195.12,1984509.0
2024-10-17 13:53:00,3196.8,3200.73,3201.11,3196.8,2056463.0
2024-10-17 13:54:00,3200.56,3200.73,3201.02,3199.78,1091990.0
2024-10-17 13:55:00,3200.87,3199.44,3200.87,3198.82,1092452.0
2024-10-17 13:56:00,3199.43,3201.02,3201.21,3199.23,1035897.0
2024-10-17 13:57:00,3201.53,3201.63,3202.56,3201.03,1036667.0
2024-10-17 13:58:00,3202.32,3202.1,3202.73,3201.9,908478.0
2024-10-17 13:59:00,3202.43,3202.93,3203.4,3202.43,980615.0
2024-10-17 14:00:00,3203.13,3202.2,3203.2,3201.63,1072661.0
2024-10-17 14:01:00,3201.97,3201.05,3202.37,3201.05,1022545.0
2024-10-17 14:02:00,3201.2,3200.72,3201.2,3199.68,1003153.0
2024-10-17 14:03:00,3200.09,3200.34,3200.76,3200.09,787887.0
2024-10-17 14:04:00,3200.12,3197.0,3200.12,3196.39,1580640.0
2024-10-17 14:05:00,3197.11,3196.95,3198.14,3196.65,998187.0
2024-10-17 14:06:00,3197.07,3198.59,3199.23,3197.07,1009574.0
2024-10-17 14:07:00,3198.44,3196.47,3199.11,3196.39,1134285.0
2024-10-17 14:08:00,3196.3,3197.05,3197.32,3196.3,863841.0
2024-10-17 14:09:00,3196.87,3196.2,3197.23,3195.98,888345.0
2024-10-17 14:10:00,3196.23,3195.47,3196.23,3195.08,1167145.0
2024-10-17 14:11:00,3195.78,3194.03,3196.08,3193.74,1403937.0
2024-10-17 14:12:00,3193.53,3191.34,3193.66,3191.04,1873947.0
2024-10-17 14:13:00,3191.47,3194.17,3194.17,3190.79,1794250.0
2024-10-17 14:14:00,3193.49,3191.28,3193.58,3191.28,1253099.0
2024-10-17 14:15:00,3190.57,3186.39,3190.57,3186.39,3199326.0
2024-10-17 14:16:00,3186.78,3186.26,3187.11,3185.93,2139826.0
2024-10-17 14:17:00,3186.05,3186.0,3186.28,3184.54,2054193.0
2024-10-17 14:18:00,3186.17,3187.7,3190.38,3185.88,2314074.0
2024-10-17 14:19:00,3187.79,3188.76,3189.71,3187.79,1221160.0
2024-10-17 14:20:00,3188.56,3182.51,3188.96,3182.51,2470707.0
2024-10-17 14:21:00,3182.11,3181.19,3182.11,3180.34,2733932.0
2024-10-17 14:22:00,3181.37,3183.83,3184.45,3181.33,1816419.0
2024-10-17 14:23:00,3183.72,3178.63,3183.72,3178.63,2295793.0
2024-10-17 14:24:00,3178.17,3175.91,3178.17,3175.83,3853585.0
2024-10-17 14:25:00,3175.9,3177.49,3178.29,3175.9,2559831.0
2024-10-17 14:26:00,3177.85,3175.86,3177.85,3175.42,2466531.0
2024-10-17 14:27:00,3176.08,3177.66,3177.66,3175.16,2207324.0
2024-10-17 14:28:00,3177.78,3177.37,3177.78,3176.31,1803352.0
2024-10-17 14:29:00,3177.35,3173.29,3177.35,3173.25,2419716.0
2024-10-17 14:30:00,3173.95,3177.03,3177.03,3173.69,1965176.0
2024-10-17 14:31:00,3177.57,3183.49,3184.3,3177.57,3149409.0
2024-10-17 14:32:00,3184.01,3180.02,3184.78,3179.65,2358662.0
2024-10-17 14:33:00,3180.18,3180.13,3180.18,3177.87,1605472.0
2024-10-17 14:34:00,3179.6,3182.58,3182.58,3179.6,1358044.0
2024-10-17 14:35:00,3182.24,3181.29,3182.28,3180.62,1332150.0
2024-10-17 14:36:00,3181.28,3178.87,3181.28,3178.87,1404862.0
2024-10-17 14:37:00,3178.21,3176.87,3178.6,3176.6,1744310.0
2024-10-17 14:38:00,3177.14,3177.92,3178.43,3176.87,1434462.0
2024-10-17 14:39:00,3178.42,3177.73,3178.42,3176.97,1380587.0
2024-10-17 14:40:00,3177.54,3178.09,3178.58,3177.44,1209163.0
2024-10-17 14:41:00,3178.54,3182.79,3182.79,3178.54,2024708.0
2024-10-17 14:42:00,3183.01,3180.25,3183.01,3180.25,1561616.0
2024-10-17 14:43:00,3180.35,3180.9,3180.9,3179.82,1421826.0
2024-10-17 14:44:00,3180.83,3181.65,3181.65,3180.64,1376318.0
2024-10-17 14:45:00,3181.98,3179.91,3182.16,3179.37,1695213.0
2024-10-17 14:46:00,3180.01,3178.69,3180.51,3177.87,2148544.0
2024-10-17 14:47:00,3178.13,3175.76,3178.13,3175.43,2460825.0
2024-10-17 14:48:00,3176.19,3173.36,3176.19,3173.36,2464508.0
2024-10-17 14:49:00,3173.55,3171.91,3174.01,3171.91,2801659.0
2024-10-17 14:50:00,3171.73,3170.98,3171.95,3170.85,2960584.0
2024-10-17 14:51:00,3171.04,3171.51,3172.27,3170.66,2564457.0
2024-10-17 14:52:00,3171.8,3172.48,3172.55,3171.76,2367608.0
2024-10-17 14:53:00,3172.47,3170.08,3172.67,3170.08,2940896.0
2024-10-17 14:54:00,3169.96,3170.64,3170.68,3169.96,2730094.0
2024-10-17 14:55:00,3170.16,3170.23,3170.96,3169.78,3025443.0
2024-10-17 14:56:00,3169.7,3171.21,3171.28,3169.7,3185312.0
2024-10-17 14:57:00,3170.71,3171.74,3172.26,3170.53,3374583.0
2024-10-17 14:58:00,3171.35,3171.92,3171.92,3171.35,224556.0
2024-10-17 14:59:00,3171.92,3171.92,3171.92,3171.92,0.0
2024-10-17 15:00:00,3171.92,3169.38,3171.92,3169.38,6256234.0
2024-10-18 09:30:00,3165.97,3165.97,3165.97,3165.97,5049726.0
2024-10-18 09:31:00,3165.97,3170.68,3176.32,3165.97,13415388.0
2024-10-18 09:32:00,3171.02,3172.35,3173.98,3170.59,8830274.0
2024-10-18 09:33:00,3171.44,3162.72,3171.44,3162.72,8051841.0
2024-10-18 09:34:00,3162.74,3165.43,3165.43,3159.8,8158727.0
2024-10-18 09:35:00,3165.49,3174.8,3174.8,3165.44,6388332.0
2024-10-18 09:36:00,3175.04,3170.63,3177.46,3170.63,6142642.0
2024-10-18 09:37:00,3170.39,3174.83,3174.83,3170.35,4727015.0
2024-10-18 09:38:00,3174.99,3171.17,3175.06,3171.14,4578198.0
2024-10-18 09:39:00,3170.89,3167.17,3170.89,3166.69,4701017.0
2024-10-18 09:40:00,3166.92,3167.68,3168.07,3165.41,5265885.0
2024-10-18 09:41:00,3167.51,3166.15,3168.22,3166.15,4075135.0
2024-10-18 09:42:00,3165.84,3163.42,3166.03,3163.42,4130010.0
2024-10-18 09:43:00,3163.88,3172.63,3172.63,3162.94,5032986.0
2024-10-18 09:44:00,3172.77,3175.49,3175.64,3172.77,3582533.0
2024-10-18 09:45:00,3175.71,3172.46,3175.84,3172.39,3086356.0
2024-10-18 09:46:00,3172.97,3171.24,3174.05,3171.2,2922728.0
2024-10-18 09:47:00,3171.03,3167.35,3171.03,3167.35,3079729.0
2024-10-18 09:48:00,3167.18,3170.31,3170.59,3165.86,3145086.0
2024-10-18 09:49:00,3170.24,3173.27,3173.66,3170.24,3152362.0
2024-10-18 09:50:00,3173.55,3172.99,3175.46,3172.94,2770766.0
2024-10-18 09:51:00,3172.98,3172.43,3172.98,3169.93,3028854.0
2024-10-18 09:52:00,3172.15,3177.33,3177.33,3172.15,2982410.0
2024-10-18 09:53:00,3177.96,3176.91,3177.99,3176.82,2492200.0
2024-10-18 09:54:00,3176.92,3177.38,3177.79,3176.74,2358492.0
2024-10-18 09:55:00,3177.56,3178.63,3178.76,3177.13,2364182.0
2024-10-18 09:56:00,3178.47,3171.89,3178.47,3171.89,3412927.0
2024-10-18 09:57:00,3171.6,3170.37,3171.6,3169.7,3149787.0
2024-10-18 09:58:00,3170.36,3172.71,3174.66,3170.36,3045805.0
2024-10-18 09:59:00,3172.63,3169.72,3172.8,3168.92,2737405.0
2024-10-18 10:00:00,3169.25,3163.75,3169.25,3163.75,2992732.0
2024-10-18 10:01:00,3163.71,3164.25,3164.79,3163.12,3334477.0
2024-10-18 10:02:00,3164.48,3173.47,3173.48,3164.48,4359057.0
2024-10-18 10:03:00,3173.83,3171.56,3173.83,3171.34,2352810.0
2024-10-18 10:04:00,3171.42,3168.0,3171.42,3168.0,2490810.0
2024-10-18 10:05:00,3168.14,3165.24,3168.14,3164.72,2614094.0
2024-10-18 10:06:00,3165.27,3165.98,3167.83,3165.27,2726085.0
2024-10-18 10:07:00,3166.34,3160.21,3166.34,3160.21,2874562.0
2024-10-18 10:08:00,3160.56,3161.36,3161.36,3158.98,3447235.0
2024-10-18 10:09:00,3161.7,3162.13,3163.77,3161.41,3594703.0
2024-10-18 10:10:00,3162.21,3164.51,3164.83,3162.21,3446259.0
2024-10-18 10:11:00,3164.82,3162.86,3165.14,3162.86,2631353.0
2024-10-18 10:12:00,3161.17,3159.91,3161.46,3159.74,2948284.0
2024-10-18 10:13:00,3160.01,3157.09,3160.72,3157.09,2647245.0
2024-10-18 10:14:00,3156.48,3152.92,3156.89,3152.82,3207301.0
2024-10-18 10:15:00,3152.85,3155.26,3155.44,3152.85,2639609.0
2024-10-18 10:16:00,3155.58,3158.93,3159.47,3155.32,3106068.0
2024-10-18 10:17:00,3159.2,3156.7,3159.2,3156.41,2052375.0
2024-10-18 10:18:00,3156.71,3157.37,3157.87,3156.28,1876508.0
2024-10-18 10:19:00,3157.21,3159.62,3159.62,3157.21,2649943.0
2024-10-18 10:20:00,3160.41,3165.17,3166.74,3160.41,4522059.0
2024-10-18 10:21:00,3165.21,3162.48,3165.21,3162.48,2055069.0
2024-10-18 10:22:00,3162.4,3161.44,3162.67,3161.41,1962657.0
2024-10-18 10:23:00,3161.09,3166.08,3166.08,3161.09,2628909.0
2024-10-18 10:24:00,3166.51,3170.41,3170.41,3166.49,2916732.0
