,Open,High,Low,Close,Volume
2023-10-31,18828.756555657015,19074.855719936033,18723.241655312202,18828.756555657015,1456110.0
2023-11-30,18756.711067513348,19024.793065729667,18320.34677237483,18756.711067513348,656824.0
2023-12-31,19962.517170887895,20175.746528542728,19942.577993966974,19962.517170887895,988884.0
2024-01-31,25139.622635344665,25178.265505493942,25137.11499550472,25139.622635344665,1930234.0
2024-02-29,25954.502424988692,26042.28599307081,25552.65734820184,25954.502424988692,1870164.0
2024-03-31,24530.723389460443,24851.512583486605,24281.071116460127,24530.723389460443,486538.0
2024-04-30,20678.512589318976,20785.130388783462,20505.098543758275,20678.512589318976,1795604.0
2024-05-31,22789.34373775337,22899.22623286925,22743.356106451003,22789.34373775337,1632513.0
2024-06-30,23326.36682980286,23610.09083641341,23053.32171881224,23326.36682980286,608245.0
2024-07-31,20939.192958655145,21170.804006703645,20909.267556619146,20939.192958655145,484455.0
2024-08-31,16355.609999563629,16547.686262758532,16355.172891494954,16355.609999563629,1395771.0
2024-09-30,17010.543017517724,17138.415911897333,16921.90803840507,17010.543017517724,1655707.0
2024-10-31,14300.51826080882,14398.976532633338,14276.208694063245,14300.51826080882,1690562.0
